total_raw_counts,25970668.000
total_output_counts,23063820.000
total_counts_removed,2906848.000
fraction_counts_removed,0.112
total_raw_counts_in_cells,25970668.000
total_counts_removed_from_cells,2906848.000
fraction_counts_removed_from_cells,0.112
average_counts_removed_per_cell,431.091
target_fpr,0.010
expected_cells,2664.000
found_cells,6743.000
output_average_counts_per_cell,3420.409
ratio_of_found_cells_to_expected_cells,2.531
found_empties,13257.000
fraction_of_analyzed_droplets_that_are_nonempty,0.337
convergence_indicator,0.620
overall_change_in_train_elbo,663.025
